			School				Cost				Effect					% Chance to gain									AI value				Right Click Text				
치료	치료	1	 	x	 	 	6	5	5	5	5	10	10	20	30	10	10	5	5	0	5	5	10	5	4	4	4	4	"{치료}

특정 아군 부대에 걸린 해로운 마법을 해제하고, 손상된 체력을 어느 정도 회복시켜 줍니다.
"	"{초급 치료}

특정 아군 부대에 걸린 해로운 마법을 해제하고, 손상된 체력을 어느 정도 회복시켜 줍니다.
"	"{중급 치료}

특정 아군 부대에 걸린 해로운 마법을 해제하고, 손상된 체력을 어느 정도 회복시켜 줍니다.

초급의 경우보다 체력 10을 더 회복시켜 줍니다.
"	"{고급 치료}

모든 아군 부대에 걸린 해로운 마법을 해제하고, 손상된 체력을 어느 정도 회복시켜 줍니다.

초급의 경우보다 체력 20을 더 회복시켜 줍니다.
"	 COMBAT_SPELL|CREATURE_TARGET_1
부활	부활	4	x	 	 	 	20	16	16	16	50	40	40	80	160	10	10	10	10	10	10	0	0	5	50	50	60	120	"{부활}

특정 아군 부대의 전사자를 일정한 체력 합산치만큼 부활시킵니다.
"	"{초급 부활}

특정 아군 부대의 전사자를 일정한 체력 합산치만큼 부활시킵니다.
"	"{중급 부활}

특정 아군 부대의 전사자를 일정한 체력 합산치만큼 부활시킵니다.

초급의 경우보다 체력 40 만큼의 아군이 더 부활합니다.
"	"{고급 부활}

특정 아군 부대의 전사자를 일정한 체력 합산치만큼 부활시킵니다.

초급의 경우보다 체력 120 만큼의 아군이 더 부활합니다."	 COMBAT_SPELL|CREATURE_TARGET
시체 조종	시체 조종	3	x	 	 	 	15	12	12	12	50	30	30	60	160	0	0	0	0	16	0	0	0	0	60	60	60	120	"{시체 조종}

특정 아군 부대의 언데드 전사자를 일정한 체력 합산치만큼 되살립니다.
"	"{초급 시체 조종}

특정 아군 부대의 언데드 전사자를 일정한 체력 합산치만큼 되살립니다.
"	"{중급 시체 조종}

특정 아군 부대의 언데드 전사자를 일정한 체력 합산치만큼 되살립니다.

초급의 경우보다 체력 30 만큼의 아군이 더 살아납니다.
"	"{고급 시체 조종}

특정 아군 부대의 언데드 전사자를 일정한 체력 합산치만큼 되살립니다.

초급의 경우보다 체력 130 만큼의 아군이 더 살아납니다.
"	 COMBAT_SPELL|CREATURE_TARGET
희생	희생	5	 	 	x	 	25	20	20	20	1	3	3	6	10	0	0	0	20	16	12	0	0	0	1	1	1	1	"{희생}

죽은 부대를 되살리기 위해 살아있는 아군 부대를 희생시킵니다. 되살아나는 아군의 숫자는 영웅의 마법력과 희생된 유닛의 체력에 비례합니다.
"	"{초급 희생}

죽은 부대를 되살리기 위해 살아있는 아군 부대를 희생시킵니다. 되살아나는 아군의 숫자는 영웅의 마법력과 희생된 유닛의 체력에 비례합니다.
"	"{중급 희생}

죽은 부대를 되살리기 위해 살아있는 아군 부대를 희생시킵니다. 되살아나는 아군의 숫자는 영웅의 마법력과 희생된 유닛의 체력에 비례합니다.

초급의 경우보다 효과가 큽니다.
"	"{고급 희생}

죽은 부대를 되살리기 위해 살아있는 아군 부대를 희생시킵니다. 되살아나는 아군의 숫자는 영웅의 마법력과 희생된 유닛의 체력에 비례합니다.

중급의 경우보다 효과가 큽니다.
"	 COMBAT_SPELL|CREATURE_TARGET
축복	축복	1	 	x	 	 	5	4	4	4	0	0	0	1	1	10	5	5	0	0	3	3	5	5	10	10	11	11	"{축복}

축복받은 특정 아군 부대는 적군에게 최대 피해를 입히게 됩니다.
"	"{초급 축복}

축복받은 특정 아군 부대는 적군에게 최대 피해를 입히게 됩니다."	"{중급 축복}

축복받은 특정 아군 부대는 적군에게 최대 피해 이상을 입히게 됩니다.
"	"{고급 축복}

모든 아군 부대가 축복을 받아 적군에게 최대 피해 이상을 입히게 됩니다.
"	 COMBAT_SPELL|CREATURE_TARGET_2
저주	저주	1	 		x	 	6	5	5	5	0	0	0	1	1	0	0	3	5	10	5	0	0	0	10	10	11	11	"{저주}

저주받은 특정 적 부대는 아군에게 최소한의 피해만을 입히게 됩니다.
"	"{초급 저주}

저주받은 특정 적 부대는 아군에게 최소한의 피해만을 입히게 됩니다.
"	"{중급 저주}

저주받은 특정 적 부대는 아군에게 최소한의 피해 이하만을 입히게 됩니다.
"	"{고급 저주}

모든 적 부대가 저주받아 아군에게 최소한의 피해 이하만을 입히게 됩니다.
"	 COMBAT_SPELL|CREATURE_TARGET_2
피의 굶주림	피의 굶주림	1	 	 	x	 	5	4	4	4	0	3	3	6	6	0	0	0	10	5	5	10	5	5	7	7	15	15	"{피의 굶주림}

이 마법에 걸린 특정 아군 부대는 근접 공격시 적군에게 더욱 많은 피해를 줍니다.
"	"{초급 피의 굶주림}

이 마법에 걸린 특정 아군 부대는 근접 공격시 적군에게 더욱 많은 피해를 줍니다."	"{중급 피의 굶주림}

이 마법에 걸린 특정 아군 부대는 근접 공격시 적군에게 더욱 많은 피해를 줍니다.

초급의 경우보다 두배의 효과가 있습니다.
"	"{고급 피의 굶주림}

모든 아군 부대가 근접 공격시 적군에게 더욱 많은 피해를 줍니다.

초급의 경우보다 두배의 효과가 있습니다.
"	 COMBAT_SPELL|CREATURE_TARGET_2
정확성	정확성	2	 	 	 	x	8	6	6	6	0	3	3	6	6	6	6	4	8	2	6	4	4	2	7	7	15	15	"{정확성}

이 마법에 걸린 아군 부대는 장거리 공격시 적군에게 더욱 많은 피해를 줍니다.
"	"{초급 정확성}

이 마법에 걸린 아군 부대는 장거리 공격시 적군에게 더욱 많은 피해를 줍니다.
"	"{중급 정확성}

이 마법에 걸린 아군 부대는 장거리 공격시 적군에게 더욱 많은 피해를 줍니다.

초급의 경우보다 두배의 효과가 있습니다.
"	"{고급 정확성}

모든 아군 부대가 장거리 공격시 적군에게 더욱 많은 피해를 줍니다.

초급의 경우보다 두배의 효과가 있습니다.
"	 COMBAT_SPELL|CREATURE_TARGET_2
약화	약화	2	 	x	 	 	8	6	6	6	0	3	3	6	6	2	2	2	8	4	4	4	4	4	7	7	15	15	"{약화}

특정 적 부대의 공격력을 낮춥니다.
"	"{초급 약화}

특정 적 부대의 공격력을 낮춥니다."	"{중급 약화}

특정 적 부대의 공격력을 낮춥니다.

초급의 경우보다 두배의 효과가 있습니다.
"	"{고급 약화}

모든 적 부대의 공격력을 낮춥니다.

초급의 경우보다 두배의 효과가 있습니다.
"	 COMBAT_SPELL|CREATURE_TARGET_2
석갑	석갑	1	x	 	 	 	5	4	4	4	0	3	3	6	6	5	5	10	5	10	5	10	5	5	7	7	15	15	"{석갑}

특정 아군 부대의 방어력을 높입니다.
"	"{석갑}

특정 아군 부대의 방어력을 높입니다.
"	"{중급 석갑}

특정 아군 부대의 방어력을 높입니다.

초급의 경우보다 두배의 효과가 있습니다.
"	"{고급 석갑}

모든 아군 부대의 방어력을 높입니다.

초급의 경우보다 두배의 효과가 있습니다."	 COMBAT_SPELL|CREATURE_TARGET_2
방해 광선	방해 광선	2	 	 	 	x	10	8	8	8	0	3	3	4	5	6	4	6	12	4	6	6	6	8	7	7	15	15	"{방해 광선}

특정 적군의 방어력을 낮춥니다.  하나의 적군에 대해 여러 번 사용할 수도 있습니다.
"	"{초급 방해 광선}

특정 적군의 방어력을 낮춥니다.  하나의 적군에 대해 여러 번 사용할 수도 있습니다.
"	"{중급 방해 광선}

특정 적군의 방어력을 낮춥니다.  하나의 적군에 대해 여러 번 사용할 수도 있습니다.

초급의 경우보다 효과가 큽니다.
"	"{고급 방해 광선}

특정 적군의 방어력을 낮춥니다.  하나의 적군에 대해 여러 번 사용할 수도 있습니다.

중급의 경우보다 효과가 큽니다.
"	 COMBAT_SPELL|CREATURE_TARGET_2
기원	기원	4	 	x	 	 	16	12	12	12	0	2	2	4	4	10	5	5	0	0	0	0	0	5	8	8	16	16	"{기원}

특정 아군 부대의 공격력, 방어력, 속도를 높여줍니다.
"	"{초급 기원}

특정 아군 부대의 공격력, 방어력, 속도를 높여줍니다."	"{중급 기원}

특정 아군 부대의 공격력, 방어력, 속도를 높여줍니다.

초급의 경우보다 두배의 효과가 있습니다.
"	"{고급 기원}

모든 아군 부대의 공격력, 방어력, 속도를 높여줍니다.

초급의 경우보다 두배의 효과가 있습니다."	 COMBAT_SPELL|CREATURE_TARGET_2
환희	환희	3	 	x	 	 	12	9	9	9	0	1	1	2	2	4	4	4	2	4	4	12	2	4	1	1	2	2	"{환희}

특정 아군 부대의 사기를 높입니다.
"	"{초급 환희}

특정 아군 부대의 사기를 높입니다."	"{중급 환희}

특정 아군 부대의 사기를 높입니다.

초급의 경우보다 두배의 효과가 있습니다.
"	"{고급 환희}

모든 아군 부대의 사기를 높입니다.

초급의 경우보다 두배의 효과가 있습니다."	 COMBAT_SPELL|CREATURE_TARGET_2|MIND_SPELL
슬픔	슬픔	4	x	 	 	 	16	12	12	12	0	1	1	2	2	5	5	5	5	5	5	0	0	5	1	1	2	2	"{슬픔}

특정 적 부대의 사기를 낮춥니다.
"	"{초급 슬픔}

특정 적 부대의 사기를 낮춥니다.
"	"{중급 슬픔}

특정 적 부대의 사기를 낮춥니다.

초급의 경우보다 두배의 효과가 있습니다.
"	"{고급 슬픔}

모든 적 부대의 사기를 낮춥니다.

초급의 경우보다 두배의 효과가 있습니다."	 COMBAT_SPELL|CREATURE_TARGET_2|MIND_SPELL
행운	행운	2	 	 	 	x	7	5	5	5	0	1	1	2	2	4	6	4	4	2	2	4	4	2	1	1	2	2	"{행운}

특정 아군 부대의 행운을 높여줍니다.
"	"{초급 행운}

특정 아군 부대의 행운을 높여줍니다.
"	"{중급 행운}

특정 아군 부대의 행운을 높여줍니다.

초급의 경우보다 두배의 효과가 있습니다.
"	"{고급 행운}

모든 아군 부대의 행운을 높여줍니다.

초급의 경우보다 두배의 효과가 있습니다."	 COMBAT_SPELL|CREATURE_TARGET_2
불행	불행	3	 	 	x	 	12	9	9	9	0	1	1	2	2	4	4	4	6	8	4	4	2	4	1	1	2	2	"{불행}

특정 적 부대의 행운을 낮춥니다.
"	"{초급 불행}

특정 적 부대의 행운을 낮춥니다.

주문 점수 소모량이 반으로 줄어듭니다.
"	"{중급 불행}

특정 적 부대의 행운을 낮춥니다.

초급의 경우보다 두배의 효과가 있습니다.
"	"{고급 불행}

모든 적 부대의 행운을 낮춥니다.

초급의 경우보다 두배의 효과가 있습니다."	 COMBAT_SPELL|CREATURE_TARGET_2
가속	가속	1		 	 	x	6	5	5	5	0	3	3	5	5	5	10	5	5	5	10	5	10	10	5	5	10	10	"{가속}

특정 아군 부대의 이동 속도를 높여줍니다.
"	"{초급 가속}

특정 아군 부대의 이동 속도를 높여줍니다.
"	"{중급 가속}

특정 아군 부대의 이동 속도를 높여줍니다.

초급의 경우보다 두배의 효과가 있습니다.
"	"{고급 가속}

모든 아군 부대의 이동 속도를 높여줍니다.

초급의 경우보다 두배의 효과가 있습니다."	 COMBAT_SPELL|CREATURE_TARGET_2
둔화	둔화	1	x	 	 	 	6	5	5	5	0	75	75	50	50	5	10	10	10	5	5	5	5	10	5	5	15	15	"{둔화}

특정 적 부대의 이동 속도를 떨어뜨립니다.
"	"{초급 둔화}

특정 적 부대의 이동 속도를 떨어뜨립니다.
"	"{중급 둔화}

특정 적 부대의 이동 속도를 떨어뜨립니다.

초급의 경우보다 두배의 효과가 있습니다.
"	"{고급 서행}

모든 적 부대의 이동 속도를 떨어뜨립니다.

초급의 경우보다 두배의 효과가 있습니다.
"	 COMBAT_SPELL|CREATURE_TARGET_2
용사	용사	4	 		x	 	16	12	12	12	0	8	8	8	8	5	5	5	5	5	5	0	0	5	1	1	1	1	"{용사}

이 마법에 걸린 아군 유닛은 드래곤, 베히모스, 히드라를 공격할 때 더 많은 피해를 입히게 됩니다.
"	"{초급 용사}

이 마법에 걸린 아군 유닛은 드래곤, 베히모스, 히드라를 공격할 때 더 많은 피해를 입히게 됩니다.
"	"{중급 용사}

이 마법에 걸린 아군 유닛은 드래곤, 베히모스, 히드라, 사탄, 천사를 공격할 때 더 많은 피해를 입히게 됩니다.
"	"{고급 용사}

이 마법에 걸린 아군은 드래곤, 베히모스, 히드라, 사탄, 천사, 타이탄을 공격할 때 더 많은 피해를 입히게 됩니다.
"	 COMBAT_SPELL|CREATURE_TARGET
광분	광분	4	 	 	x	 	16	12	12	12	0	100	100	150	200	5	5	5	5	5	5	0	0	5	10	10	20	30	"{광분}

이 마법에 걸린 아군은 방어력이 낮아지고, 그만큼 공격력이 상승합니다.
"	"{초급 광분}

이 마법에 걸린 아군은 방어력이 낮아지고, 그만큼 공격력이 상승합니다.
"	"{중급 광분}

이 마법에 걸린 아군은 방어력이 낮아지고, 그만큼 공격력이 상승합니다.

초급의 경우보다 공격력이 50% 더 상승합니다.
"	"{고급 광분}

이 마법에 걸린 아군은 방어력이 낮아지고, 그만큼 공격력이 상승합니다.

초급의 경우보다 공격력이 두배 더 상승합니다.
"	 COMBAT_SPELL|CREATURE_TARGET|MIND_SPELL
타이탄의 번개	타이탄의 번개	5				x	0	0	0	0	0	600	600	600	600	0	0	0	0	0	0	0	0	0	75	75	75	75	"{타이탄의 번개}

주문 점수 소비 없이 600의 피해를 입힙니다."	"{타이탄의 번개}

주문 점수 소비 없이 600의 피해를 입힙니다."	"{타이탄의 번개}

주문 점수 소비 없이 600의 피해를 입힙니다."	"{타이탄의 번개}

주문 점수 소비 없이 600의 피해를 입힙니다."	
반격	반격	4	 	 	 	x	24	20	20	20	0	1	1	2	2	5	10	5	5	5	5	0	0	5	20	20	30	30	"{반격}

특정 아군 유닛이 매 턴마다 적의 공격에 한번 더 반격할 수 있게 해 줍니다.
"	"{초급 반격}

특정 아군 유닛이 매 턴마다 적의 공격에 한번 더 반격할 수 있게 해 줍니다.
"	"{중급 반격}

특정 아군 유닛이 매 턴마다 적의 공격에 두번 더 반격할 수 있게 해 줍니다.
"	"{중급 반격}

모든 아군 유닛이 매 턴마다 적의 공격에 두번 더 반격할 수 있게 해 줍니다.
"	 COMBAT_SPELL|CREATURE_TARGET_2
버서크	버서크	4	 	 	x	 	20	16	16	16	0	0	0	1	2	5	5	5	5	10	5	0	0	5	60	60	60	60	"{버서크}

이 마법에 걸린 적군은 가장 가까운 곳에 있는 아군이나 적군을 가리지 않고 공격합니다.
"	"{초급 버서크}

이 마법에 걸린 적군은 가장 가까운 곳에 있는 아군이나 적군을 가리지 않고 공격합니다.
"	"{중급 버서크}

이 마법에 걸린 적군은 가장 가까운 곳에 있는 아군이나 적군을 가리지 않고 공격합니다.

초급의 경우보다 적용범위가 6칸 더 넓습니다.
"	"{고급 버서크}

이 마법에 걸린 적군은 가장 가까운 곳에 있는 아군이나 적군을 가리지 않고 공격합니다.

초급의 경우보다 적용범위가 18칸 더 넓습니다.
"	 COMBAT_SPELL|CREATURE_TARGET|MIND_SPELL
최면	최면	3	 	 	 	x	18	15	15	15	25	10	10	20	50	4	4	8	6	0	8	4	4	12	25	25	50	100	"{최면}

특정 적 부대를 일시적으로 당신이 조종합니다.
"	"{초급 최면}

특정 적 부대를 일시적으로 당신이 조종합니다.
"	"{중급 최면}

특정 적 부대를 일시적으로 당신이 조종합니다.

초급의 경우보다 조종할 수 있는 적군의 체력이 10 증가합니다.
"	"{고급 최면}

특정 적 부대를 일시적으로 당신이 조종합니다.

초급의 경우보다 조종할 수 있는 적군의 체력이 40 증가합니다."	 COMBAT_SPELL|CREATURE_TARGET|MIND_SPELL
망각	망각	3	 	x	 	 	12	9	9	9	0	0	0	0	0	8	8	4	4	4	4	4	4	8	1	1	1	1	"{망각}

마법에 걸린 적군의 절반이 장거리 공격을 하지 못합니다.
"	"{초급 망각}

마법에 걸린 적군의 절반이 장거리 공격을 하지 못합니다.
"	"{중급 망각}

마법에 걸린 적군이 장거리 공격을 하지 못합니다.
"	"{고급 망각}

모든 적군이 장거리 공격을 하지 못합니다.
"	 COMBAT_SPELL|CREATURE_TARGET|MIND_SPELL
장님	장님	2	 	 	x	 	10	8	8	8	0	50	50	25	0	4	6	2	12	4	4	4	6	8	50	50	50	50	"{눈멀기}

이 마법에 걸린 적군은 이동할 수 없으며, 반격시의 공격력도 절반으로 떨어집니다.  마법에 걸린 적군이 공격받거나 해제 마법을 사용할 경우는 이 마법에서 풀려납니다.
"	"{초급 눈멀기}

이 마법에 걸린 적군은 이동할 수 없으며, 반격시의 공격력도 절반으로 떨어집니다.  마법에 걸린 적군이 공격받거나 해제 마법을 사용할 경우는 이 마법에서 풀려납니다.
"	"{중급 눈멀기}

이 마법에 걸린 적군은 이동할 수 없으며, 반격시의 공격력도 1/4로 떨어집니다.  마법에 걸린 적군이 공격받거나 해제 마법을 사용할 경우는 이 마법에서 풀려납니다.
"	"{고급 눈멀기}

이 마법에 걸린 적군은 이동할 수 없으며, 반격할 수 없습니다.  마법에 걸린 적군이 공격받거나 해제 마법을 사용할 경우는 이 마법에서 풀려납니다.
"	 COMBAT_SPELL|CREATURE_TARGET
순간이동	순간이동	3	 	x	 	 	15	12	6	3	0	0	0	0	0	8	8	8	8	8	8	8	10	8	20	20	20	20	"{순간이동}

특정 아군을 전장의 빈칸으로 이동시킬 수 있습니다.
"	"{초급 순간이동}

특정 아군을 전장의 빈칸으로 이동시킬 수 있습니다.

단, 성벽이나 해자를 넘어갈 수는 없습니다.
"	"{중급 순간이동}

특정 아군을 전장의 빈칸으로 이동시킬 수 있습니다.

단, 성벽을 넘어갈 수는 없습니다.
"	"{고급 순간이동}

특정 아군을 전장의 어떠한 빈칸으로도 이동시킬 수 있습니다.
"	 COMBAT_SPELL|CREATURE_TARGET
방해물 제거	방해물 제거	2	 	x	 	 	7	5	5	5	0	0	0	0	0	4	4	6	4	4	4	4	4	4	1	1	1	1	"{방해물 제거}

나무나 바위같은 방해물을 제거합니다.
"	"{초급 방해물 제거}

나무나 바위같은 방해물을 제거합니다.
"	"{중급 방해물 제거}

나무나 바위같은 방해물과 화염의 벽을 제거합니다.
"	"{고급 방해물 제거}

나무나 바위같은 방해물뿐만 아니라 마법으로 인한 방해물도 제거합니다.
"	 COMBAT_SPELL|OBSTACLE_TARGET
복제	복제	4	 	x	 	 	24	20	20	20	0	5	5	6	7	5	5	10	5	5	5	0	0	10	20	20	40	50	"{복제}

특정 아군을 복제합니다. 복제된 아군은 공격받으면 소멸됩니다.

단, 5레벨 이하의 유닛만 복제가 가능합니다.
"	"{초급 복제}

특정 아군을 복제합니다. 복제된 아군은 공격받으면 소멸됩니다.

단, 5레벨 이하의 유닛만 복제가 가능합니다.
"	"{중급 복제}

특정 아군을 복제합니다. 복제된 아군은 공격받으면 소멸됩니다.

단, 6레벨 이하의 유닛만 복제가 가능합니다.
"	"{고급 복제}

특정 아군을 복제합니다. 복제된 아군은 공격받으면 소멸됩니다.

모든 레벨의 유닛을 복제할 수 있습니다.
"	 COMBAT_SPELL|CREATURE_TARGET
불의 정령 소환	불의 정령 소환	5			x		25	20	20	20	0	2	2	3	4	0	0	0	16	0	12	0	0	12	50	50	100	150	"{불의 정령 소환}

불의 정령을 소환합니다. 한번 사용하면, 다른 종류의 정령은 소환할 수 없습니다.
"	"{초급 불의 정령 소환}

불의 정령을 소환합니다. 한번 사용하면, 다른 종류의 정령은 소환할 수 없습니다.
"	"{중급 불의 정령 소환}

불의 정령을 소환합니다. 한번 사용하면, 다른 종류의 정령은 소환할 수 없습니다.

초급의 경우보다 1.5배 정도 많은 불의 정령을 소환합니다.
"	"{고급 불의 정령 소환}

불의 정령을 소환합니다. 한번 사용하면, 다른 종류의 정령은 소환할 수 없습니다.

초급의 경우보다 2배 정도 많은 불의 정령을 소환합니다.

"	 COMBAT_SPELL
땅의 정령 소환	땅의 정령 소환	5	x				25	20	20	20	0	2	2	3	4	0	16	14	16	16	12	0	0	12	50	50	100	150	"{땅의 정령 소환}

땅의 정령을 소환합니다. 한번 사용하면, 다른 종류의 정령은 소환할 수 없습니다.
"	"{초급 땅의 정령 소환}

땅의 정령을 소환합니다. 한번 사용하면, 다른 종류의 정령은 소환할 수 없습니다.
"	"{중급 땅의 정령 소환}

땅의 정령을 소환합니다. 한번 사용하면, 다른 종류의 정령은 소환할 수 없습니다.

초급의 경우보다 1.5배 정도 많은 땅의 정령을 소환합니다.
"	"{고급 땅의 정령 소환}

땅의 정령을 소환합니다. 한번 사용하면, 다른 종류의 정령은 소환할 수 없습니다.

초급의 경우보다 2배 정도 많은 땅의 정령을 소환합니다.
"	 COMBAT_SPELL
물의 정령 소환	물의 정령 소환	5		x			25	20	20	20	0	2	2	3	4	0	16	14	0	0	12	0	0	12	50	50	100	150	"{물의 정령 소환}

물의 정령을 소환합니다. 한번 사용하면, 다른 종류의 정령은 소환할 수 없습니다.
"	"{초급 물의 정령 소환}

물의 정령을 소환합니다. 한번 사용하면, 다른 종류의 정령은 소환할 수 없습니다.
"	"{중급 물의 정령 소환}

물의 정령을 소환합니다. 한번 사용하면, 다른 종류의 정령은 소환할 수 없습니다.

초급의 경우보다 1.5배 정도 많은 물의 정령을 소환합니다.
"	"{고급 물의 정령 소환}

물의 정령을 소환합니다. 한번 사용하면, 다른 종류의 정령은 소환할 수 없습니다.

초급의 경우보다 2배 정도 많은 물의 정령을 소환합니다.

"	 COMBAT_SPELL
바람의 정령 소환	바람의 정령 소환	5				x	25	20	20	20	0	2	2	3	4	0	0	14	0	16	0	0	0	12	50	50	100	150	"{바람의 정령 소환}

바람의 정령을 소환합니다. 한번 사용하면, 다른 종류의 정령은 소환할 수 없습니다.
"	"{초급 바람의 정령 소환}

바람의 정령을 소환합니다. 한번 사용하면, 다른 종류의 정령은 소환할 수 없습니다.
"	"{중급 바람의 정령 소환}

바람의 정령을 소환합니다. 한번 사용하면, 다른 종류의 정령은 소환할 수 없습니다.

초급의 경우보다 1.5배 정도 많은 바람의 정령을 소환합니다.
"	"{고급 바람의 정령 소환}

바람의 정령을 소환합니다. 한번 사용하면, 다른 종류의 정령은 소환할 수 없습니다.

초급의 경우보다 2배 정도 많은 바람의 정령을 소환합니다.

"	 COMBAT_SPELL
																																	
Creature Abilities																																	
																																	
석화의 시선	석화의 시선	3					0	0	0	0	0	0	0	0	0	12	13	12	13	12	13	12	13	13	1	1	1	1					 CREATURE_SPELL
독 공격	독 공격	0					0	0	0	0	0	0	0	0	0	12	13	12	13	12	13	12	13	13	1	1	1	1					 CREATURE_SPELL
장님	장님	0					0	0	0	0	0	0	0	0	0	12	13	12	13	12	13	12	13	13	1	1	1	1					 CREATURE_SPELL
질병	질병	2					0	0	0	0	0	0	0	0	0	12	13	12	13	12	13	12	13	13	1	1	1	1					 CREATURE_SPELL
마비	마비	4					0	0	0	0	0	0	0	0	0	12	13	12	13	12	13	12	13	13	1	1	1	1					 CREATURE_SPELL
노화	노화	5					0	0	0	0	0	0	0	0	0	12	13	12	13	12	13	12	13	13	1	1	1	1					 CREATURE_SPELL
죽음의 구름	죽음의 구름	0					0	0	0	0	0	0	0	0	0	12	13	12	13	12	13	12	13	13	1	1	1	1					 CREATURE_SPELL
천둥	천둥	0					0	0	0	0	0	0	0	0	0	12	13	12	13	12	13	12	13	13	1	1	1	1					 CREATURE_SPELL
유용한 마법 해제	유용한 마법 해제	0					0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1					
죽음의 시선	죽음의 시선	0					0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1					
산성 숨결	산성 숨결	0					0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1					
